Row,centroid1,centroid2,centroid3
L_bankssts,-88.1607146490188,-35.0572222603692,-27.3815079416547
L_caudalanteriorcingulate,92.7207462823213,32.9561194804177,11.8177612219284
L_caudalmiddlefrontal,-3.24206895021529,54.4293107328744,80.2403883276315
L_cuneus,42.8403922623279,-83.9940194522633,-29.1527450879415
L_entorhinal,-1.84479161693404,29.1156250039736,-94.9758337338765
L_fusiform,-7.8836688591385,-23.542045550687,-92.0510715385536
L_inferiorparietal,-50.6612602590529,-80.041053645867,5.99917352889195
L_inferiortemporal,-41.6761254243745,-18.9911436937832,-83.6208491730074
L_isthmuscingulate,85.1788612923971,-37.3731706045507,-27.1647967439357
L_lateraloccipital,-16.2186040942117,-82.5961672981378,-46.3965482881227
L_lateralorbitofrontal,2.62850984494184,86.8658819759593,-43.0089018129835
L_lingual,39.9997287665227,-45.8268605091775,-75.7051165676856
L_medialorbitofrontal,50.0428573193193,77.5674830326418,-33.6613605071087
L_middletemporal,-68.3081972550373,-17.1006124392659,-63.4012584037521
L_parahippocampal,28.0314018581515,-3.69186911181869,-93.7545795618931
L_paracentral,70.249374958185,-26.773605630948,62.4377404909867
L_parsopercularis,-52.9764641819738,78.2911602884366,24.4918232201213
L_parsorbitalis,-8.57196424342692,97.3351786477225,-18.3912498780659
L_parstriangularis,-32.2693496719608,93.1695118725784,-2.9481301113842
L_pericalcarine,44.3833045793616,-71.1993045972741,-51.7148691260296
L_postcentral,-40.0229471342375,-11.1150767612295,74.0095404506339
L_posteriorcingulate,95.586610921224,-13.6212777853012,17.5404444879956
L_precentral,-20.4855407222112,20.7871555950023,79.5576593872353
L_precuneus,67.3333912310393,-64.2419130491174,10.8133260063503
L_rostralanteriorcingulate,73.1142103295577,64.6951316532336,-15.6147369334572
L_rostralmiddlefrontal,7.66173730272074,88.7369700286348,33.5865677433499
L_superiorfrontal,63.0828063070224,42.7018444610365,50.7306456188911
L_superiorparietal,7.47485411168862,-82.0034560629849,41.843563711222
L_superiortemporal,-80.3817645154927,19.779932103006,-40.2186425206888
L_supramarginal,-81.7352466966814,-25.1564167622456,38.5329249912032
L_frontalpole,40.3011112213135,90.9777768452962,-7.41166689660814
L_temporalpole,-27.1085368365776,44.7414633588093,-84.6943912040897
L_transversetemporal,-90.2169125500847,33.4811765726875,-24.2732353210449
L_insula,-61.2853798619882,64.5328571586261,-30.1584499048969
